UF,Sexo,Capacidade Total,Tipo de Gestão,Concebido ou Adaptado,Consultório Médico,Total Provisórios Masculinos,Total Provisórios Femininos,Total Sentenciados Masculinos,Total Sentenciados Femininos,Branca Masculino,Negra Masculino,Parda Masculino,Amarela Masculino,Indígena Masculino,Branca Feminino,Negra Feminino,Parda Feminino,Amarela Feminino,Indígena Feminino,Solteiro/a Masculino,União estável/ amasiado Masculino,Casado/a Masculino,Separado/a judicialmente Masculino,Divorciado/a Masculino,Viúvo/a Masculino,Solteiro/a Feminino,União estável/ amasiado Feminino,Casado/a Feminino,Separado/a judicialmente Feminino,Divorciado/a Feminino,Viúvo/a Feminino,18 a 24 anos Masculino,25 a 29 anos Masculino,30 a 34 anos Masculino,35 a 45 anos Masculino,46 a 60 anos Masculino,61 a 70 anos Masculino,Mais de 70 anos Masculino,18 a 24 anos Feminino,25 a 29 anos Feminino,30 a 34 anos Feminino,35 a 45 anos Feminino,46 a 60 anos Feminino,61 a 70 anos Feminino,Mais de 70 anos Feminino
al,masculino,192.0,pública,concebido,sim,96.0,0.0,33.0,0.0,21.0,32.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,72.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,33.0,18.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
al,misto,105.0,pública,concebido,sim,39.0,3.0,9.0,0.0,17.0,12.0,55.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,61.0,6.0,7.0,0.0,8.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,5.0,24.0,15.0,21.0,12.0,4.0,2.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0
al,misto,0.0,pública,adaptado,não,0.0,0.0,1971.0,107.0,482.0,272.0,1182.0,0.0,2.0,34.0,10.0,63.0,0.0,0.0,923.0,0.0,579.0,0.0,253.0,18.0,68.0,0.0,9.0,0.0,2.0,2.0,480.0,606.0,381.0,329.0,147.0,28.0,0.0,42.0,23.0,24.0,14.0,4.0,0.0,0.0
al,masculino,157.0,pública,concebido,sim,1.0,0.0,115.0,0.0,39.0,15.0,60.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,37.0,47.0,24.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,25.0,25.0,35.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
al,feminino,74.0,pública,adaptado,sim,0.0,183.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,30.0,34.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,60.0,10.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,55.0,44.0,58.0,31.0,6.0,0.0
al,masculino,762.0,co-gestão,concebido,sim,598.0,0.0,164.0,0.0,183.0,112.0,293.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,320.0,298.0,106.0,0.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,311.0,189.0,128.0,100.0,20.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
al,masculino,240.0,pública,concebido,sim,523.0,0.0,13.0,0.0,90.0,118.0,328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,18.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,142.0,107.0,78.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
al,masculino,390.0,pública,concebido,não,619.0,0.0,39.0,0.0,200.0,127.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,308.0,76.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,364.0,131.0,72.0,71.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
am,masculino,250.0,pública,concebido,não,599.0,0.0,4.0,0.0,101.0,29.0,453.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,57.0,493.0,41.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,177.0,90.0,64.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
am,masculino,22.0,pública,concebido,sim,7.0,0.0,11.0,0.0,23.0,14.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,18.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
am,masculino,450.0,pública,concebido,sim,1.0,0.0,1207.0,0.0,72.0,37.0,1098.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,971.0,175.0,44.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0,364.0,249.0,198.0,57.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
am,masculino,198.0,pública,concebido,sim,0.0,0.0,423.0,0.0,23.0,17.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,166.0,57.0,14.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,133.0,36.0,32.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
am,masculino,586.0,parceria público-privada,concebido,sim,1001.0,0.0,20.0,0.0,74.0,78.0,813.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,510.0,411.0,43.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,452.0,249.0,134.0,87.0,32.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
am,feminino,72.0,parceria público-privada,adaptado,sim,0.0,11.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,5.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,17.0,11.0,12.0,4.0,0.0,0.0
am,masculino,627.0,co-gestão,concebido,sim,1022.0,0.0,23.0,0.0,123.0,329.0,536.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,537.0,347.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.0,317.0,157.0,87.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
am,feminino,180.0,pública,concebido,sim,0.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,27.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,112.0,12.0,9.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,53.0,64.0,35.0,32.0,1.0,0.0
am,masculino,132.0,parceria público-privada,concebido,sim,141.0,0.0,53.0,0.0,23.0,14.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,18.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,23.0,17.0,18.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
am,feminino,60.0,pública,concebido,não,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,11.0,5.0,6.0,0.0,0.0
am,misto,36.0,pública,adaptado,não,41.0,8.0,124.0,12.0,23.0,14.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,18.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,23.0,17.0,18.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
am,masculino,496.0,co-gestão,concebido,sim,546.0,0.0,69.0,0.0,59.0,31.0,594.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,421.0,252.0,27.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.0,145.0,101.0,55.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
am,masculino,0.0,pública,concebido,não,0.0,0.0,467.0,0.0,105.0,89.0,258.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,130.0,76.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,110.0,89.0,73.0,36.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
am,misto,33.0,pública,adaptado,não,37.0,7.0,62.0,6.0,16.0,20.0,63.0,0.0,0.0,3.0,1.0,9.0,0.0,0.0,47.0,26.0,9.0,0.0,1.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,39.0,28.0,19.0,2.0,2.0,1.0,0.0,2.0,5.0,1.0,2.0,1.0,0.0,0.0
am,misto,63.0,pública,adaptado,não,100.0,6.0,28.0,2.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,69.0,53.0,5.0,0.0,0.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,67.0,30.0,11.0,16.0,1.0,3.0,0.0,3.0,0.0,2.0,1.0,2.0,0.0,0.0
am,masculino,87.0,pública,adaptado,sim,50.0,10.0,123.0,15.0,23.0,14.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,18.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,23.0,17.0,18.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
am,misto,53.0,pública,adaptado,não,0.0,10.0,107.0,16.0,23.0,14.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,18.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,17.0,18.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
am,misto,0.0,pública,concebido,sim,167.0,13.0,156.0,68.0,23.0,14.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,18.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,23.0,17.0,18.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
am,masculino,40.0,pública,adaptado,não,102.0,6.0,36.0,1.0,20.0,2.0,119.0,0.0,4.0,3.0,0.0,5.0,0.0,0.0,74.0,67.0,2.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,1.0,80.0,23.0,18.0,16.0,7.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0
am,masculino,0.0,pública,adaptado,não,56.0,4.0,63.0,5.0,14.0,3.0,102.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,38.0,61.0,19.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,5.0,24.0,23.0,17.0,18.0,7.0,1.0,0.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0
ap,masculino,476.0,pública,concebido,não,0.0,0.0,347.0,0.0,15.0,33.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,149.0,25.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,148.0,49.0,73.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ap,masculino,54.0,pública,adaptado,não,23.0,0.0,0.0,0.0,23.0,14.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,18.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,23.0,17.0,18.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ap,misto,45.0,pública,adaptado,não,96.0,1.0,0.0,0.0,23.0,14.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,18.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,23.0,17.0,18.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ap,feminino,112.0,pública,concebido,sim,0.0,39.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,33.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,27.0,25.0,27.0,11.0,0.0,0.0
ap,masculino,850.0,pública,adaptado,sim,48.0,0.0,1168.0,0.0,86.0,212.0,788.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,557.0,561.0,77.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,486.0,199.0,235.0,48.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ap,masculino,28.0,pública,concebido,não,5.0,0.0,16.0,0.0,3.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ap,masculino,308.0,pública,concebido,não,602.0,0.0,219.0,0.0,60.0,187.0,503.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,396.0,48.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395.0,173.0,109.0,102.0,28.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ap,masculino,25.0,pública,adaptado,sim,0.0,0.0,0.0,0.0,23.0,14.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ba,masculino,268.0,co-gestão,concebido,sim,299.0,0.0,185.0,0.0,69.0,130.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,137.0,30.0,7.0,20.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,149.0,72.0,64.0,27.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ba,masculino,96.0,pública,adaptado,sim,58.0,0.0,42.0,0.0,18.0,37.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,14.0,16.0,11.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,12.0,26.0,19.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ba,masculino,284.0,pública,concebido,sim,0.0,0.0,442.0,0.0,1.0,226.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,11.0,32.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,82.0,114.0,123.0,37.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ba,masculino,457.0,co-gestão,concebido,sim,283.0,0.0,239.0,0.0,72.0,19.0,428.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,227.0,275.0,7.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,119.0,75.0,59.0,32.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ba,misto,478.0,co-gestão,concebido,sim,334.0,72.0,555.0,29.0,23.0,14.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,18.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,23.0,17.0,18.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ba,masculino,98.0,pública,concebido,não,0.0,0.0,0.0,0.0,23.0,14.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,18.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,23.0,17.0,18.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ba,misto,416.0,pública,concebido,sim,333.0,53.0,480.0,12.0,73.0,201.0,538.0,0.0,1.0,3.0,21.0,41.0,0.0,0.0,450.0,172.0,57.0,8.0,10.0,5.0,40.0,15.0,7.0,0.0,0.0,0.0,229.0,213.0,185.0,108.0,44.0,16.0,0.0,26.0,19.0,14.0,2.0,2.0,2.0,0.0
ba,masculino,432.0,pública,concebido,sim,242.0,0.0,71.0,0.0,59.0,113.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,52.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,115.0,14.0,33.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ba,misto,316.0,co-gestão,concebido,sim,178.0,13.0,407.0,26.0,110.0,103.0,372.0,0.0,0.0,3.0,7.0,29.0,0.0,0.0,335.0,148.0,102.0,0.0,0.0,0.0,22.0,13.0,4.0,0.0,0.0,0.0,136.0,160.0,87.0,146.0,47.0,8.0,1.0,11.0,10.0,8.0,7.0,3.0,0.0,0.0
ba,masculino,784.0,pública,concebido,sim,893.0,0.0,15.0,0.0,160.0,205.0,543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,355.0,50.0,10.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,23.0,17.0,18.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ba,masculino,180.0,pública,concebido,sim,430.0,0.0,21.0,1.0,33.0,220.0,196.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,257.0,170.0,20.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,192.0,107.0,82.0,49.0,18.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ba,feminino,132.0,pública,concebido,sim,0.0,103.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,8.0,35.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,22.0,12.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,25.0,32.0,28.0,6.0,1.0,0.0
ba,misto,644.0,pública,concebido,sim,764.0,48.0,364.0,46.0,114.0,285.0,720.0,8.0,0.0,4.0,19.0,72.0,0.0,0.0,531.0,465.0,82.0,24.0,13.0,5.0,53.0,22.0,7.0,5.0,6.0,2.0,428.0,273.0,186.0,178.0,54.0,8.0,0.0,27.0,24.0,25.0,14.0,4.0,1.0,0.0
ba,masculino,476.0,co-gestão,concebido,sim,320.0,0.0,239.0,0.0,0.0,112.0,446.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,218.0,214.0,99.0,12.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,140.0,105.0,95.0,40.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ba,masculino,771.0,pública,concebido,sim,0.0,0.0,1130.0,0.0,100.0,272.0,718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730.0,135.0,250.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,418.0,217.0,194.0,14.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ba,misto,150.0,pública,concebido,sim,72.0,0.0,0.0,0.0,15.0,7.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,23.0,13.0,38.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ba,masculino,187.0,pública,concebido,sim,205.0,19.0,0.0,0.0,23.0,15.0,167.0,0.0,0.0,4.0,2.0,13.0,0.0,0.0,70.0,120.0,11.0,2.0,0.0,2.0,15.0,2.0,0.0,1.0,0.0,1.0,61.0,97.0,20.0,25.0,0.0,2.0,0.0,7.0,8.0,1.0,2.0,1.0,0.0,0.0
ba,masculino,220.0,pública,concebido,sim,118.0,0.0,160.0,0.0,33.0,87.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,18.0,74.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,71.0,59.0,48.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ba,masculino,430.0,co-gestão,concebido,sim,0.0,0.0,412.0,0.0,5.0,213.0,173.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,340.0,24.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,113.0,91.0,81.0,33.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ba,misto,182.0,pública,concebido,sim,143.0,24.0,62.0,5.0,62.0,58.0,90.0,0.0,0.0,5.0,4.0,15.0,0.0,0.0,91.0,74.0,43.0,0.0,1.0,1.0,18.0,5.0,1.0,0.0,0.0,0.0,91.0,45.0,35.0,24.0,12.0,1.0,2.0,7.0,7.0,8.0,1.0,1.0,0.0,0.0
ba,masculino,1004.0,pública,concebido,sim,1077.0,0.0,0.0,0.0,223.0,372.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.0,163.0,212.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.0,273.0,236.0,151.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ba,misto,316.0,pública,concebido,sim,356.0,56.0,271.0,34.0,38.0,176.0,413.0,0.0,0.0,13.0,24.0,53.0,0.0,0.0,439.0,159.0,23.0,3.0,2.0,1.0,62.0,23.0,2.0,2.0,0.0,1.0,241.0,145.0,83.0,98.0,42.0,17.0,0.0,24.0,20.0,13.0,25.0,7.0,1.0,0.0
